station;Date;Pression-mer;varia-pres-3h;Direc_ vent_M_10min;Vitesse_vent_moyen 10 mn;Température;Humidité;Visibilité horizontale;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Pression station;Variation de pression en 24 heures;Température minimale sur 12 heures;Température maximale sur 12 heures;Température minimale du sol sur 12 heures;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Précipitations_ 6hrs;Précipitations_12hrs;Précipitations24hrs;Nébulosité couche nuageuse 1;Coordonnees;lieu
7643;2017-07-08 02:00:00+02:00;101720;-20;10;1,8;294,05;87;16870;;0;;101630;-280;;;293.950000;2.100000;2.900000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-08 17:00:00+02:00;101500;-170;150;3;301,35;45;55410;75;6;5460;101410;-330;;;293.150000;4.700000;5.000000;-10;0.000000;0;0;6;43.577, 3.963167;MONTPELLIER
7643;2017-07-12 14:00:00+02:00;101590;-80;170;3,7;306,75;35;19840;;1;2250;101500;80;;;292.650000;6.300000;6.300000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-07-15 14:00:00+02:00;101690;-130;360;5,9;304,85;24;51410;;0;;101600;70;;;292.850000;9.800000;10.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-16 02:00:00+02:00;101860;60;330;4,3;298,15;34;60000;;0;;101770;40;;;296.650000;7.600000;8.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-18 11:00:00+02:00;101890;20;130;3,3;298,75;55;41240;;0;;101800;-250;;;291.450000;4.500000;5.000000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-18 14:00:00+02:00;101880;-10;140;3,9;298,65;66;19930;;0;;101790;-200;;;291.450000;5.400000;6.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-18 22:00:00+01:00;102370;110;310;1,7;282,45;84;10540;0;0;;102270;-90;;;282.950000;2.100000;2.300000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-20 16:00:00+01:00;102260;-160;150;3,2;291,65;42;40000;0;0;;102160;-170;;;280.850000;3.900000;4.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-26 04:00:00+01:00;102150;-20;350;1,8;276,45;73;20000;40;0;8000;102050;470;;;280.450000;2.400000;2.700000;-10;0.000000;0;0;3;43.577, 3.963167;MONTPELLIER
7643;2017-02-28 19:00:00+01:00;101060;350;300;5,8;283,05;58;60000;100;7;;100960;70;282.450000;288.550000;282.350000;9.000000;12.400000;-10;1.200000;1,2;1,4;2;43.577, 3.963167;MONTPELLIER
7643;2017-03-04 10:00:00+01:00;99380;110;270;11,5;280,95;77;57590;100;7;450;99280;-2040;;;282.350000;16.200000;16.200000;-10;14.400000;14,8;14,8;4;43.577, 3.963167;MONTPELLIER
7643;2017-07-25 05:00:00+02:00;101490;-120;270;6,8;293,55;58;60000;;1;1750;101400;60;;;292.150000;10.300000;10.900000;-10;0.000000;0;-0,1;1;43.577, 3.963167;MONTPELLIER
